,country,year,rank,ladder,log_gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption,positive_affect,negative_affect,well_being_inequality_1,changes_happiness,iso_code,common_name,official_name,tld,cca2,ccn3,cca3,cioc,independent,capital,region,subregion,official_languages,latitude,longitude,demonym,landlocked,borders,area_sqkm,flag_emoji,nb_borders
0,Australia,2005,5,7.34,10.57,0.97,71.4,0.93,0.34,0.39,0.84,0.24,1.53,-0.065,AUS,Australia,Commonwealth of Australia,.au,AU,36.0,AUS,AUS,True,Canberra,Oceania,Australia and New Zealand,{'eng': 'English'},-27.0,133.0,Australian,False,[],7692024.0,🇦🇺,0
1,Belgium,2005,6,7.26,10.59,0.93,69.9,0.92,0.07,0.6,0.8,0.26,1.5,-0.276,BEL,Belgium,Kingdom of Belgium,.be,BE,56.0,BEL,BEL,True,Brussels,Europe,Western Europe,"{'deu': 'German', 'fra': 'French', 'nld': 'Dutch'}",50.83333333,4.0,Belgian,False,"['FRA', 'DEU', 'LUX', 'NLD']",30528.0,🇧🇪,4
2,Brazil,2005,13,6.64,9.42,0.88,63.3,0.88,-0.03,0.74,0.82,0.3,2.44,-0.25,BRA,Brazil,Federative Republic of Brazil,.br,BR,76.0,BRA,BRA,True,Brasília,Americas,South America,{'por': 'Portuguese'},-10.0,-55.0,Brazilian,False,"['ARG', 'BOL', 'COL', 'GUF', 'GUY', 'PRY', 'PER', 'SUR', 'URY', 'VEN']",8515767.0,🇧🇷,10
3,Canada,2005,3,7.42,10.61,0.96,71.3,0.96,0.24,0.5,0.84,0.23,1.64,-0.179,CAN,Canada,Canada,.ca,CA,124.0,CAN,CAN,True,Ottawa,Americas,North America,"{'eng': 'English', 'fra': 'French'}",60.0,-95.0,Canadian,False,['USA'],9984670.0,🇨🇦,1
4,Czech Republic,2005,17,6.44,10.16,0.92,67.0,0.87,-0.07,0.9,0.72,0.26,2.06,0.381,CZE,Czechia,Czech Republic,.cz,CZ,203.0,CZE,CZE,True,Prague,Europe,Eastern Europe,"{'ces': 'Czech', 'slk': 'Slovak'}",49.75,15.5,Czech,True,"['AUT', 'DEU', 'POL', 'SVK']",78865.0,🇨🇿,4
5,Denmark,2005,1,8.02,10.7,0.97,69.6,0.97,0.24,0.24,0.86,0.15,1.34,-0.341,DNK,Denmark,Kingdom of Denmark,.dk,DK,208.0,DNK,DEN,True,Copenhagen,Europe,Northern Europe,{'dan': 'Danish'},56.0,10.0,Danish,False,['DEU'],43094.0,🇩🇰,1
6,Egypt,2005,25,5.17,8.99,0.85,59.7,0.82,-0.13,0.83,0.73,0.35,2.66,-0.936,EGY,Egypt,Arab Republic of Egypt,.eg,EG,818.0,EGY,EGY,True,Cairo,Africa,Northern Africa,{'ara': 'Arabic'},27.0,30.0,Egyptian,False,"['ISR', 'LBY', 'PSE', 'SDN']",1002450.0,🇪🇬,4
7,France,2005,9,7.09,10.51,0.94,71.3,0.89,0.12,0.69,0.77,0.23,1.61,-0.282,FRA,France,French Republic,.fr,FR,250.0,FRA,FRA,True,Paris,Europe,Western Europe,{'fra': 'French'},46.0,2.0,French,False,"['AND', 'BEL', 'DEU', 'ITA', 'LUX', 'MCO', 'ESP', 'CHE']",551695.0,🇫🇷,8
8,Germany,2005,14,6.62,10.54,0.96,70.2,0.85,0.1,0.78,0.78,0.2,1.8,0.469,DEU,Germany,Federal Republic of Germany,.de,DE,276.0,DEU,GER,True,Berlin,Europe,Western Europe,{'deu': 'German'},51.0,9.0,German,False,"['AUT', 'BEL', 'CZE', 'DNK', 'FRA', 'LUX', 'NLD', 'POL', 'CHE']",357114.0,🇩🇪,9
9,Greece,2005,19,6.01,10.29,0.84,70.5,0.73,-0.19,0.86,0.69,0.26,2.45,-1.04,GRC,Greece,Hellenic Republic,.gr,GR,300.0,GRC,GRE,True,Athens,Europe,Southern Europe,{'ell': 'Greek'},39.0,22.0,Greek,False,"['ALB', 'BGR', 'TUR', 'MKD']",131990.0,🇬🇷,4
