,country,year,rank,ladder,log_gdp_per_capita,social_support,healthy_life_expectancy,freedom,generosity,corruption,positive_affect,negative_affect,well_being_inequality_1,changes_happiness,iso_code,common_name,official_name,tld,cca2,ccn3,cca3,cioc,independent,capital,region,subregion,official_languages,latitude,longitude,demonym,landlocked,borders,area_sqkm,flag_emoji,nb_borders
10,Iran,2005,22,5.31,9.66,0.77,62.0,0.65,0.02,0.64,0.61,0.46,2.0,-0.713,IRN,Iran,Islamic Republic of Iran,.ir,IR,364.0,IRN,IRI,True,Tehran,Asia,Southern Asia,{'fas': 'Persian'},32.0,53.0,Iranian,False,"['AFG', 'ARM', 'AZE', 'IRQ', 'PAK', 'TUR', 'TKM']",1648195.0,🇮🇷,7
11,Italy,2005,12,6.85,10.53,0.93,71.9,0.8,0.11,0.94,0.68,0.29,1.88,-0.512,ITA,Italy,Italian Republic,.it,IT,380.0,ITA,ITA,True,Rome,Europe,Southern Europe,{'ita': 'Italian'},42.83333333,12.83333333,Italian,False,"['AUT', 'FRA', 'SMR', 'SVN', 'CHE', 'VAT']",301336.0,🇮🇹,6
12,Japan,2005,16,6.52,10.48,0.93,73.2,0.87,-0.16,0.7,0.74,0.15,1.79,-0.215,JPN,Japan,Japan,.jp,JP,392.0,JPN,JPN,True,Tokyo,Asia,Eastern Asia,{'jpn': 'Japanese'},36.0,138.0,Japanese,False,[],377930.0,🇯🇵,0
13,Jordan,2005,18,6.29,9.08,0.92,63.5,0.65,-0.11,0.67,0.7,0.24,2.01,-0.6970000000000001,JOR,Jordan,Hashemite Kingdom of Jordan,.jo,JO,400.0,JOR,JOR,True,Amman,Asia,Western Asia,{'ara': 'Arabic'},31.0,36.0,Jordanian,False,"['IRQ', 'ISR', 'PSE', 'SAU', 'SYR']",89342.0,🇯🇴,5
14,Lebanon,2005,21,5.49,9.41,0.8,64.6,0.7,0.07,0.95,0.58,0.29,2.27,0.285,LBN,Lebanon,Lebanese Republic,.lb,LB,422.0,LBN,LIB,True,Beirut,Asia,Western Asia,"{'ara': 'Arabic', 'fra': 'French'}",33.83333333,35.83333333,Lebanese,False,"['ISR', 'SYR']",10452.0,🇱🇧,2
15,Mexico,2005,15,6.58,9.67,0.9,66.2,0.81,-0.1,0.76,0.82,0.22,2.24,-0.051,MEX,Mexico,United Mexican States,.mx,MX,484.0,MEX,MEX,True,Mexico City,Americas,North America,{'spa': 'Spanish'},23.0,-102.0,Mexican,False,"['BLZ', 'GTM', 'USA']",1964375.0,🇲🇽,3
16,Netherlands,2005,2,7.46,10.68,0.95,70.4,0.9,0.34,0.57,0.87,0.23,1.24,-0.028,NLD,Netherlands,Kingdom of the Netherlands,.nl,NL,528.0,NLD,NED,True,Amsterdam,Europe,Western Europe,{'nld': 'Dutch'},52.5,5.75,Dutch,False,"['BEL', 'DEU']",41850.0,🇳🇱,2
17,Pakistan,2005,23,5.22,8.3,0.59,54.2,0.63,0.08,0.84,0.68,0.24,2.43,0.703,PAK,Pakistan,Islamic Republic of Pakistan,.pk,PK,586.0,PAK,PAK,True,Islamabad,Asia,Southern Asia,"{'eng': 'English', 'urd': 'Urdu'}",30.0,70.0,Pakistani,False,"['AFG', 'CHN', 'IND', 'IRN']",881912.0,🇵🇰,4
18,Romania,2005,26,5.05,9.59,0.84,64.0,0.8,-0.19,0.96,0.64,0.35,2.28,0.851,ROU,Romania,Romania,.ro,RO,642.0,ROU,ROU,True,Bucharest,Europe,Eastern Europe,{'ron': 'Romanian'},46.0,25.0,Romanian,False,"['BGR', 'HUN', 'MDA', 'SRB', 'UKR']",238391.0,🇷🇴,5
19,Saudi Arabia,2005,10,7.08,10.73,0.87,63.5,0.62,-0.01,0.51,0.73,0.24,1.82,-0.6659999999999999,SAU,Saudi Arabia,Kingdom of Saudi Arabia,.sa,SA,682.0,SAU,KSA,True,Riyadh,Asia,Western Asia,{'ara': 'Arabic'},25.0,45.0,Saudi Arabian,False,"['IRQ', 'JOR', 'KWT', 'OMN', 'QAT', 'ARE', 'YEM']",2149690.0,🇸🇦,7
20,Spain,2005,8,7.15,10.4,0.96,71.5,0.92,-0.1,0.78,0.78,0.24,1.72,-0.7929999999999999,ESP,Spain,Kingdom of Spain,.es,ES,724.0,ESP,ESP,True,Madrid,Europe,Southern Europe,{'spa': 'Spanish'},40.0,-4.0,Spanish,False,"['AND', 'FRA', 'GIB', 'PRT', 'MAR']",505992.0,🇪🇸,5
21,Sweden,2005,4,7.38,10.63,0.95,71.2,0.96,0.14,0.29,0.84,0.15,1.62,-0.035,SWE,Sweden,Kingdom of Sweden,.se,SE,752.0,SWE,SWE,True,Stockholm,Europe,Northern Europe,{'swe': 'Swedish'},62.0,15.0,Swedish,False,"['FIN', 'NOR']",450295.0,🇸🇪,2
22,Turkey,2005,27,4.72,9.7,0.82,62.6,0.62,-0.18,0.88,0.56,0.4,2.34,0.218,TUR,Turkey,Republic of Turkey,.tr,TR,792.0,TUR,TUR,True,Ankara,Asia,Western Asia,{'tur': 'Turkish'},39.0,35.0,Turkish,False,"['ARM', 'AZE', 'BGR', 'GEO', 'GRC', 'IRN', 'IRQ', 'SYR']",783562.0,🇹🇷,8
23,United Kingdom,2005,11,6.98,10.52,0.98,69.9,0.92,0.22,0.4,0.86,0.26,1.64,0.13699999999999998,GBR,United Kingdom,United Kingdom of Great Britain and Northern Ireland,.uk,GB,826.0,GBR,GBR,True,London,Europe,Northern Europe,{'eng': 'English'},54.0,-2.0,British,False,['IRL'],242900.0,🇬🇧,1
24,Venezuela,2005,7,7.17,9.61,0.96,65.4,0.84,-0.06,0.72,0.82,0.23,2.53,-1.944,VEN,Venezuela,Bolivarian Republic of Venezuela,.ve,VE,862.0,VEN,VEN,True,Caracas,Americas,South America,{'spa': 'Spanish'},8.0,-66.0,Venezuelan,False,"['BRA', 'COL', 'GUY']",916445.0,🇻🇪,3
25,Hungary,2005,24,5.19,10.02,0.93,64.6,0.7,-0.17,0.9,0.68,0.29,2.07,0.6829999999999999,HUN,Hungary,Hungary,.hu,HU,348.0,HUN,HUN,True,Budapest,Europe,Eastern Europe,{'hun': 'Hungarian'},47.0,20.0,Hungarian,True,"['AUT', 'HRV', 'ROU', 'SRB', 'SVK', 'SVN', 'UKR']",93028.0,🇭🇺,7
26,Poland,2005,20,5.59,9.75,0.92,66.3,0.78,-0.05,0.98,0.72,0.28,2.15,0.445,POL,Poland,Republic of Poland,.pl,PL,616.0,POL,POL,True,Warsaw,Europe,Eastern Europe,{'pol': 'Polish'},52.0,20.0,Polish,False,"['BLR', 'CZE', 'DEU', 'LTU', 'RUS', 'SVK', 'UKR']",312679.0,🇵🇱,7
