country,ISO code,OECD,CIS,NATO,EU,Schengen,Eurozone,ACP Group,CAN,APEC,BSEC,Caricom,EFTA,NAFTA,WTO,continent,region
New Zealand,NZL,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Oceania,Australia and Oceania
Nicaragua,NIC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,North America,Latin America and the Caribbean
Niger,NER,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Nigeria,NGA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
North Cyprus,TRNC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe,"Western, Central, and Eastern Europe"
North Korea,PRK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia,East Asia
Norway,NOR,1,0,1,0,0,0,0,0,0,0,0,1,0,1,Europe,"Western, Central, and Eastern Europe"
Oman,OMN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Asia,Middle East and North Africa
Pakistan,PAK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Asia,South Asia
Palestinian Territories,PSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia,Middle East and North Africa
Panama,PAN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,North America,Latin America and the Caribbean
Papua New Guinea,PNG,0,0,0,0,0,0,1,0,1,0,0,0,0,1,Oceania,Australia and Oceania
Paraguay,PRY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,South America,Latin America and the Caribbean
Peru,PER,0,0,0,0,0,0,0,1,1,0,0,0,0,1,South America,Latin America and the Caribbean
Philippines,PHL,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Asia,Southeast Asia
Poland,POL,1,0,1,1,1,0,0,0,0,0,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Portugal,PRT,1,0,1,1,1,1,0,0,0,0,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Qatar,QAT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Asia,Middle East and North Africa
Romania,ROU,0,0,1,1,0,0,0,0,0,1,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Russia,RUS,0,1,0,0,0,0,0,0,1,1,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Rwanda,RWA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Saint Lucia,LCA,0,0,0,0,0,0,1,0,0,0,1,0,0,1,North America,Latin America and the Caribbean
Saint Vincent and the Grenadines,VCT,0,0,0,0,0,0,1,0,0,0,1,0,0,1,North America,Latin America and the Caribbean
Sao Tome and Principe,STP,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa
Saudi Arabia,SAU,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Asia,Middle East and North Africa
Senegal,SEN,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Serbia,SRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Europe,"Western, Central, and Eastern Europe"
Seychelles,SYC,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Sierra Leone,SLE,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Singapore,SGP,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Asia,Southeast Asia
Slovakia,SVK,1,0,1,1,1,1,0,0,0,0,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Slovenia,SVN,1,0,1,1,1,1,0,0,0,0,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Solomon Islands,SLB,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Oceania,Australia and Oceania
Somalia,SOM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa
Somaliland region,SOM,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa
South Africa,ZAF,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
South Korea,KOR,1,0,0,0,0,0,0,0,1,0,0,0,0,1,Asia,East Asia
South Sudan,SSD,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa
Spain,ESP,1,0,1,1,1,1,0,0,0,0,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Sri Lanka,LKA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Asia,South Asia
Sudan,SDN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa
Suriname,SUR,0,0,0,0,0,0,1,0,0,0,1,0,0,1,South America,Latin America and the Caribbean
Swaziland,SWZ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa
Sweden,SWE,1,0,0,1,1,0,0,0,0,0,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Switzerland,CHE,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Europe,"Western, Central, and Eastern Europe"
Syria,SYR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia,Middle East and North Africa
Taiwan Province of China,TWN,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Asia,East Asia
Tajikistan,TJK,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Tanzania,TZA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Thailand,THA,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Asia,Southeast Asia
Timor-Leste,TLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia,Southeast Asia
Togo,TGO,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Trinidad and Tobago,TTO,0,0,0,0,0,0,1,0,0,0,1,0,0,1,North America,Latin America and the Caribbean
Tunisia,TUN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Africa,Middle East and North Africa
Turkey,TUR,1,0,1,0,0,0,0,0,0,1,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
Turkmenistan,TKM,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Europe,"Western, Central, and Eastern Europe"
Uganda,UGA,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Africa,Sub-Saharan Africa
Ukraine,UKR,0,1,0,0,0,0,0,0,0,1,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Asia,Middle East and North Africa
United Kingdom,GBR,1,0,1,1,0,0,0,0,0,0,0,0,0,1,Europe,"Western, Central, and Eastern Europe"
United States,USA,1,0,1,0,0,0,0,0,1,0,0,0,1,1,North America,Latin America and the Caribbean
Uruguay,URY,0,0,0,0,0,0,0,0,0,0,0,0,0,1,South America,Latin America and the Caribbean
Uzbekistan,UZB,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Europe,"Western, Central, and Eastern Europe"
Vanuatu,VUT,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Oceania,Australia and Oceania
Venezuela,VEN,0,0,0,0,0,0,0,1,0,0,0,0,0,1,South America,Latin America and the Caribbean
Vietnam,VNM,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Asia,Southeast Asia
Yemen,YEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Asia,Middle East and North Africa
Zambia,ZMB,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa
Zimbabwe,ZWE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Africa,Sub-Saharan Africa
